epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9598,1.46153,1.7007,1.27769,0.91762,0.40795,0.54671,0.33609,1.34908,1.23374,1.21288,0.0701277,0.00331915,0.00331915
2,51.6627,1.38371,1.38816,1.25913,0.71548,0.58582,0.59064,0.37668,1.29819,1.10101,1.19815,0.0401212,0.00664598,0.00664598
3,76.598,1.37326,1.29398,1.25615,0.83822,0.62138,0.62866,0.39645,1.3151,1.07533,1.1782,0.0100887,0.00994684,0.00994684
4,103.035,1.2998,1.17165,1.19105,0.88042,0.60489,0.65024,0.43051,1.17932,1.06367,1.09441,0.00991232,0.00991232,0.00991232
5,129.93,1.19027,1.06362,1.14478,0.66247,0.59747,0.47446,0.29061,1.36089,1.27897,1.23277,0.00984449,0.00984449,0.00984449
6,156.606,1.22968,1.06966,1.15635,0.63403,0.63619,0.6873,0.43627,1.29128,0.8701,1.10024,0.00975773,0.00975773,0.00975773
7,183.899,1.16472,0.99195,1.11886,0.66669,0.65159,0.69411,0.49018,1.1437,0.89423,1.06028,0.00965239,0.00965239,0.00965239
8,212.347,1.1578,0.9862,1.12118,0.63829,0.63936,0.68682,0.50178,1.02188,0.76433,1.0181,0.00952889,0.00952889,0.00952889
9,242.336,1.11509,0.93056,1.09163,0.90288,0.6351,0.69731,0.4696,1.27128,0.78663,1.09863,0.00938772,0.00938772,0.00938772
10,274.098,1.10732,0.93761,1.09798,0.62835,0.61808,0.67936,0.49005,1.08275,0.81491,1.03903,0.00922942,0.00922942,0.00922942
11,304.632,1.07137,0.8915,1.08685,0.64232,0.84149,0.77804,0.52476,1.17695,0.75567,1.05823,0.00905463,0.00905463,0.00905463
12,336.798,1.08603,0.88977,1.09178,0.69665,0.75528,0.76959,0.55235,1.05719,0.69702,1.01066,0.00886404,0.00886404,0.00886404
13,369.985,1.0174,0.82849,1.06258,0.70899,0.83601,0.79489,0.56752,1.05082,0.693,1.00055,0.00865839,0.00865839,0.00865839
14,401.662,0.99167,0.80245,1.04494,0.64748,0.67573,0.73448,0.52988,1.13148,0.70833,1.04987,0.00843851,0.00843851,0.00843851
15,433.983,1.00424,0.80586,1.05507,0.92774,0.69126,0.78838,0.57822,1.04607,0.67127,1.01768,0.00820525,0.00820525,0.00820525
16,467.508,0.99329,0.78833,1.04678,0.86954,0.74548,0.79495,0.58076,0.99841,0.64224,0.99139,0.00795954,0.00795954,0.00795954
17,503.275,1.00868,0.79758,1.05441,0.78606,0.69672,0.78665,0.60729,0.88153,0.60928,0.96395,0.00770234,0.00770234,0.00770234
18,537.224,1.01502,0.8034,1.06005,0.63349,0.48657,0.46481,0.33943,1.08746,1.32777,1.10335,0.00743468,0.00743468,0.00743468
19,573.102,1.00329,0.78693,1.04965,0.81254,0.69943,0.75921,0.60655,0.82265,0.62252,0.95689,0.00715761,0.00715761,0.00715761
20,612.65,0.97619,0.76488,1.04819,0.81373,0.74598,0.79594,0.5447,1.08978,0.63192,1.02259,0.00687222,0.00687222,0.00687222
21,651.08,0.96955,0.75772,1.03631,0.78131,0.72865,0.78448,0.59949,0.87418,0.58159,0.95619,0.00657963,0.00657963,0.00657963
22,699.03,0.9588,0.74004,1.03336,0.85009,0.69279,0.79295,0.59568,1.01576,0.59894,0.99658,0.00628101,0.00628101,0.00628101
