epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5506,0.96109,3.03328,1.13525,0.01712,0.49617,0.11666,0.08202,0.71517,3.08757,0.98747,0.00017148,0.00017148,0.00017148
2,103.3,0.8447,1.36349,1.02996,0.90918,0.11867,0.45867,0.37244,0.68961,2.30453,0.90506,0.000350176,0.000350176,0.000350176
3,153.672,0.80361,1.02201,0.99459,0.8832,0.49949,0.56542,0.47691,0.63483,1.59402,0.8879,0.000521516,0.000521516,0.000521516
4,206.536,0.74843,0.85208,0.9733,0.91215,0.46246,0.54589,0.43719,0.62187,1.61061,0.88826,0.0006855,0.0006855,0.0006855
5,267.954,0.72058,0.8304,0.96683,0.93108,0.58079,0.62033,0.5226,0.58559,1.10032,0.86813,0.000842127,0.000842127,0.000842127
6,328.642,0.68026,0.73417,0.94303,0.91477,0.54523,0.5827,0.42284,0.75826,1.55332,0.95523,0.000991397,0.000991397,0.000991397
7,384.873,0.67786,0.72916,0.96578,0.6309,0.61148,0.6356,0.53727,0.56058,1.06381,0.87771,0.00113331,0.00113331,0.00113331
8,443.961,0.63044,0.69514,0.9385,0.61916,0.58167,0.63181,0.55559,0.49824,0.9672,0.86092,0.00123094,0.00123094,0.00123094
9,499.867,0.61641,0.64329,0.94308,0.95574,0.60719,0.67252,0.56207,0.46762,0.92813,0.85831,0.00120265,0.00120265,0.00120265
10,557.426,0.61715,0.61346,0.93654,0.95569,0.61887,0.68902,0.57954,0.46689,0.76369,0.85831,0.00117435,0.00117435,0.00117435
11,615.096,0.58193,0.61238,0.92698,0.97558,0.64136,0.65744,0.5851,0.44806,0.66342,0.84258,0.00114606,0.00114606,0.00114606
12,671.517,0.57501,0.59292,0.93031,0.65202,0.74519,0.72385,0.57271,0.44309,0.78067,0.83717,0.00111776,0.00111776,0.00111776
